img,label,FrameID,Timestamp,Pred_Class,Domain,Video
images/p2_11.24_102254-104954_12_7_1_f000043_s0000208.jpg,Other,43,1.720,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.24 102254-104954/12月7日(1).mp4
images/p2_11.26_200607-203635_12_8_1_f000208_s0000384.jpg,Other,208,8.320,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 200607-203635/12月8日(1).mp4
images/p2_11.27_120007-121807_12_9_1_f000260_s0000480.jpg,Forward,260,10.400,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.27 120007-121807/12月9日 (1).mp4
images/p2_11.26_084842-091241_12_8_f000271_s0000352.jpg,In-Car,271,10.841,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 084842-091241/12月8日.mp4
images/p2_11.23_213406-215748_12_7_2_f000501_s0000080.jpg,In-Car,501,20.042,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 213406-215748/12月7日 (2).mp4
images/p2_11.26_214610-221610_12_8_1_f000665_s0000432.jpg,Forward,665,26.600,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 214610-221610/12月8日(1).mp4
images/p2_11.26_221906-223729_12_9_f000672_s0000456.jpg,Non-Forward,672,26.880,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 221906-223729/12月9日.mp4
images/p2_11.23_230111-231611_12_7_f000739_s0000144.jpg,Forward,739,29.560,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 230111-231611/12月7日.mp4
images/p2_11.24_235836-002836_12_7_1_f000867_s0000240.jpg,Other,867,34.680,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.24 235836-002836/12月7日 (1).mp4
images/p2_11.23_220048-225805_12_7_3_f000898_s0000112.jpg,Forward,898,35.921,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 220048-225805/12月7日 (3).mp4
images/p2_11.27_120007-121807_12_9_1_f000987_s0000481.jpg,Non-Forward,987,39.480,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.27 120007-121807/12月9日 (1).mp4
images/p2_11.22_174834-184234_12_7_f001083_s0000048.jpg,In-Car,1083,43.321,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.22 174834-184234/12月7日.mp4
images/p2_11.24_003142-005842_12_7_f001161_s0000176.jpg,Forward,1161,46.440,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.24 003142-005842/12月7日.mp4
images/p2_11.21_090208-092608_12_7_f001309_s0000000.jpg,,1309,52.361,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.21 090208-092608/12月7日.mp4
images/p2_11.21_211252-213351_12_7_f001330_s0000024.jpg,In-Car,1330,53.200,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.21 211252-213351/12月7日.mp4
images/p2_11.25_233229-235928_12_8_f001371_s0000328.jpg,Non-Forward,1371,54.840,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.25 233229-235928/12月8日.mp4
images/p2_11.23_213406-215748_12_7_2_f001508_s0000081.jpg,In-Car,1508,60.325,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 213406-215748/12月7日 (2).mp4
images/p2_11.23_230111-231611_12_7_f001556_s0000145.jpg,Forward,1556,62.240,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 230111-231611/12月7日.mp4
images/p2_11.24_003142-005842_12_7_f001567_s0000177.jpg,Forward,1567,62.680,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.24 003142-005842/12月7日.mp4
images/p2_11.26_221906-223729_12_9_f001679_s0000457.jpg,Forward,1679,67.160,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 221906-223729/12月9日.mp4
images/p2_11.25_090543-093243_12_7_1_f001712_s0000272.jpg,Non-Forward,1712,68.480,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.25 090543-093243/12月7日 (1).mp4
images/p2_11.21_090208-092608_12_7_f001731_s0000001.jpg,,1731,69.242,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.21 090208-092608/12月7日.mp4
images/p2_11.25_090543-093243_12_7_1_f001749_s0000273.jpg,In-Car,1749,69.960,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.25 090543-093243/12月7日 (1).mp4
images/p2_11.26_211211-214310_12_8_1_f001841_s0000408.jpg,Forward,1841,73.640,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 211211-214310/12月8日(1).mp4
images/p2_11.23_230111-231611_12_7_f001909_s0000146.jpg,Forward,1909,76.360,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 230111-231611/12月7日.mp4
images/p2_11.26_084842-091241_12_8_f001983_s0000353.jpg,Other,1983,79.326,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 084842-091241/12月8日.mp4
images/p2_11.25_200309-204924_12_8_f001993_s0000296.jpg,In-Car,1993,79.720,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.25 200309-204924/12月8日.mp4
images/p2_11.26_221906-223729_12_9_f002360_s0000458.jpg,Forward,2360,94.400,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 221906-223729/12月9日.mp4
images/p2_11.24_235836-002836_12_7_1_f002387_s0000241.jpg,In-Car,2387,95.480,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.24 235836-002836/12月7日 (1).mp4
images/p2_11.26_200607-203635_12_8_1_f002442_s0000385.jpg,Forward,2442,97.680,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 200607-203635/12月8日(1).mp4
images/p2_11.24_102254-104954_12_7_1_f002479_s0000209.jpg,Non-Forward,2479,99.160,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.24 102254-104954/12月7日(1).mp4
images/p2_11.27_120007-121807_12_9_1_f002609_s0000482.jpg,Forward,2609,104.360,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.27 120007-121807/12月9日 (1).mp4
images/p2_11.26_084842-091241_12_8_f002678_s0000354.jpg,In-Car,2678,107.128,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 084842-091241/12月8日.mp4
images/p2_11.22_174834-184234_12_7_f002709_s0000049.jpg,Forward,2709,108.363,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.22 174834-184234/12月7日.mp4
images/p2_11.26_214610-221610_12_8_1_f002787_s0000433.jpg,Forward,2787,111.480,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 214610-221610/12月8日(1).mp4
images/p2_11.25_200309-204924_12_8_f002872_s0000297.jpg,Non-Forward,2872,114.880,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.25 200309-204924/12月8日.mp4
images/p2_11.21_211252-213351_12_7_f002875_s0000025.jpg,Non-Forward,2875,115.000,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.21 211252-213351/12月7日.mp4
images/p2_11.23_230111-231611_12_7_f002972_s0000147.jpg,Forward,2972,118.880,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 230111-231611/12月7日.mp4
images/p2_11.24_003142-005842_12_7_f002987_s0000178.jpg,In-Car,2987,119.480,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.24 003142-005842/12月7日.mp4
images/p2_11.21_090208-092608_12_7_f003057_s0000002.jpg,,3057,122.283,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.21 090208-092608/12月7日.mp4
images/p2_11.25_233229-235928_12_8_f003183_s0000329.jpg,Non-Forward,3183,127.320,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.25 233229-235928/12月8日.mp4
images/p2_11.23_220048-225805_12_7_3_f003234_s0000113.jpg,Forward,3234,129.365,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 220048-225805/12月7日 (3).mp4
images/p2_11.27_120007-121807_12_9_1_f003272_s0000483.jpg,Forward,3272,130.880,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.27 120007-121807/12月9日 (1).mp4
images/p2_11.23_213406-215748_12_7_2_f003294_s0000082.jpg,Non-Forward,3294,131.771,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 213406-215748/12月7日 (2).mp4
images/p2_11.25_090543-093243_12_7_1_f003629_s0000274.jpg,Forward,3629,145.160,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.25 090543-093243/12月7日 (1).mp4
images/p2_11.24_102254-104954_12_7_1_f003684_s0000210.jpg,In-Car,3684,147.360,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.24 102254-104954/12月7日(1).mp4
images/p2_11.27_120007-121807_12_9_1_f003769_s0000484.jpg,Forward,3769,150.760,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.27 120007-121807/12月9日 (1).mp4
images/p2_11.26_211211-214310_12_8_1_f003826_s0000409.jpg,Forward,3826,153.040,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 211211-214310/12月8日(1).mp4
images/p2_11.26_221906-223729_12_9_f003898_s0000459.jpg,Forward,3898,155.920,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 221906-223729/12月9日.mp4
images/p2_11.21_211252-213351_12_7_f003994_s0000026.jpg,Non-Forward,3994,159.760,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.21 211252-213351/12月7日.mp4
images/p2_11.24_235836-002836_12_7_1_f004048_s0000242.jpg,In-Car,4048,161.920,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.24 235836-002836/12月7日 (1).mp4
images/p2_11.23_230111-231611_12_7_f004060_s0000148.jpg,Forward,4060,162.400,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 230111-231611/12月7日.mp4
images/p2_11.25_233229-235928_12_8_f004077_s0000330.jpg,Forward,4077,163.080,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.25 233229-235928/12月8日.mp4
images/p2_11.23_230111-231611_12_7_f004282_s0000149.jpg,Forward,4282,171.280,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 230111-231611/12月7日.mp4
images/p2_11.24_102254-104954_12_7_1_f004296_s0000211.jpg,Non-Forward,4296,171.840,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.24 102254-104954/12月7日(1).mp4
images/p2_11.23_213406-215748_12_7_2_f004299_s0000083.jpg,Other,4299,171.974,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 213406-215748/12月7日 (2).mp4
images/p2_11.26_084842-091241_12_8_f004307_s0000355.jpg,In-Car,4307,172.293,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 084842-091241/12月8日.mp4
images/p2_11.21_090208-092608_12_7_f005072_s0000003.jpg,,5072,202.886,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.21 090208-092608/12月7日.mp4
images/p2_11.26_221906-223729_12_9_f005155_s0000460.jpg,Forward,5155,206.200,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.26 221906-223729/12月9日.mp4
images/p2_11.21_211252-213351_12_7_f005176_s0000027.jpg,Forward,5176,207.040,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.21 211252-213351/12月7日.mp4
images/p2_11.24_003142-005842_12_7_f005213_s0000179.jpg,Forward,5213,208.520,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.24 003142-005842/12月7日.mp4
images/p2_11.27_120007-121807_12_9_1_f005242_s0000485.jpg,Non-Forward,5242,209.680,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.27 120007-121807/12月9日 (1).mp4
images/p2_11.23_213406-215748_12_7_2_f005248_s0000084.jpg,Other,5248,209.937,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第一批/11.23 213406-215748/12月7日 (2).mp4
images/p2_11.25_200309-204924_12_8_f005253_s0000298.jpg,Non-Forward,5253,210.120,,p2,/data/home/sim6g/autodri/data/natural_driving/p2/剪辑好的视频/pr2/第二批/11.25 200309-204924/12月8日.mp4
