domain_id,video,roi_x1,roi_y1,roi_x2,roi_y2,n_samples,source_swapped,source_uncertain
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.28 182211-185216/12月12日 (1)(1).mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.31 085825/12月13日(1).mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.30 011022-013722/12月14日.mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.29 205000-212000/12月13日(1).mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.31 192531-195442/12月13日.mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.30 004022-011022/12月13日(1).mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.31 195815-202215/12月14日(1).mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.30 211300-213017/12月13日.mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.30 211300-213017/705ad84e-b21c-47c9-995f-e789b029e19d.mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.29 181034-182834/12月13日.mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.29 192628-195328/12月13日(1).mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.28 210941-213941/12月13日.mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.30 215057-220901/12月13日.mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.30 000722-003722/12月13日.mp4,0,0,1900,1100,20,0,1
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.28 185516-192033/12月12日.mp4,0,0,1900,1100,12,0,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/11.01 122052-122352/12月14日 (1).mp4,0,0,1900,1100,20,0,1
p1,data/natural_driving_p1/p1_剪辑好的视频/第三批/10.29 233417-000513/12月13日(1).mp4,0,0,1900,1100,20,0,1
p1,data/natural_driving_p1/p1_剪辑好的视频/第二批/10.26 104911-111911/12月9日(1).mp4,1900,660,3300,1400,12,1,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第二批/10.27 093124-100423/12月11日 (1).mp4,1900,660,3300,1400,12,1,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第二批/10.27 214410-221410/12月12日 (1).mp4,1900,660,3300,1400,12,1,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第二批/10.27 135726-143326/12月11日.mp4,1900,660,3300,1400,12,1,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第二批/10.26 122811-125811/12月9日.mp4,1900,660,3300,1400,12,1,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第二批/10.27 165839-172839/12月11日(1).mp4,1900,660,3300,1400,12,1,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第二批/10.26 133408-140408/12月9日(1).mp4,1900,660,3300,1400,12,1,0
p1,data/natural_driving_p1/p1_剪辑好的视频/第二批/10.27 180138-183210/12月11日.mp4,1900,660,3300,1400,12,1,0
